"filename", "language", "Dart", "comment", "blank", "total"
"/home/joe/Desktop/flutter/bloc_course/lib/cubit/counter_cubit.dart", "Dart", 9, 0, 5, 14
"/home/joe/Desktop/flutter/bloc_course/lib/cubit/counter_state.dart", "Dart", 8, 0, 3, 11
"Total", "-", 17, 0, 8, 25
